# Extended wordlist for batch discovery
# ~500 common words across Romance + Germanic languages

amor,love,amar,amore,amour,liebe
bonito,bonito,bonito,bon,bon
belo,bello,bello,bel,beau,schon
grande,grand,gran,great,gross
pequeno,pequeno,pequeno,petit,klein
bom,bien,bueno,good,gut
mau,bad,malo,bad,bose
novo, nouveau,nuevo,new,neu
velho,viejo,old,alt
detestar,detestar,dislike,ablehnen
rir,reir,laugh,lachen
chorar,llorar,cry,weinen
sorrir,sonreir,smile,lächeln
pensar,pensar,think,denken
conhecer,conocer,know,kennen
lembrar,recordar,remember,erinnern
esquecer,olvidar,forget,vergessen
querer,querer,want,wollen
esperar,esperar,wait,warten
buscar,buscar,search,suchen
encontrar,encontrar,find,finden
perder,perder,lose,verlieren
ganhar,ganar,win,gewinnen
dar,dar,give,geben
receber,recibir,receive,empfangen
tomar,tomar,take,nehmen
deixar,dejar,leave,verlassen
ficar,quedar,stay,bleiben
ir,ir,go,gehen
vir,venir,come,kommen
levar,levar,bring,bringen
traer,traer,bring,bringen
mandar,enviar,send,sendenschicken
pedir,pedir,ask,bitten
responder,responder,answer,antworten
perguntar,preguntar,question,fragen
contar,contar,tell,erzählen
explicar,explicar,explain,erklären
entender,entender,understand,verstehen
compreender,comprender,understand,verstehen
aprender,aprender,learn,lernen
ensinar,enseñar,teach,lehren
estudar,estudiar,study,studieren
trabalhar,trabajar,work,arbeiten
descansar,descansar,rest,ausruhen
divertir,divertir,have fun,spassen
jogar,jugar,play,spielen
ganhar,ganar,earn,verdienen
pagar,pagar,pay,bezahlen
comprar,comprar,buy,kaufen
vender,vender,sell,verkaufen
trocar,cambiar,exchange,tauschen
guardar,guardar,keep,aufbewahren
perder,perder,lose,verlieren
consertar,arreglar,fix,reparieren
quebrar,romper,break,brechen
abrir,abrir,open,öffnen
fechar,cerrar,close,schliessen
construir,construir,build,bauen
destruir,destruir,destroy,zerstoren
fazer,hacer,make,machen
criar,crear,create,erstellen
inventar,inventar,invent,erfinden
descobrir,descubrir,discover,entdecken
explorar,explorar,explore,erforschen
viajar,viajar,travel,reisen
sair,salir,leave,ausgehen
chegar,llegar,arrive,ankommen
volver,volver,return,zurückkommen
ficar,quedar,stay,bleiben
住,casa,live,wohnen
morar,residir,live,wohnen
andar,caminar,walk,gehen
correr,correr,run,rennen
pular,saltar,jump,springen
caer,caer,fall,fallen
levantar,levantar,raise,aufheben
abaixar,baixar,lower,senken
subir,subir,go up,hinaufgehen
descer,bajar,go down,hinuntergehen
entrar,entrar,enter,eintreten
sair,salir,exit,ausgehen
subir,subir,climb,steigen
descer,bajar,descend,hinabsteigen
passar,pasar,pass,passieren
ficar,quedar,remain,bleiben
mover,mover,move,bewegen
parar,parar,stop,anhalten
comecar,empezar,start,beginnen
continuar,continuar,continue,fortfahren
acabar,acabar,finish,beenden
demorar,tardar,take time,dauern
apressar,apresurar,hurry,beeilen
esperar,esperar,wait,warten
precipitar,precipitar,hurry,beeilen
atrasar,retrasar,delay,verspäten
adiar,aplazar,postpone,aufschieben
cancelar,cancelar,cancel,absagen
confirmar,confirmar,confirm,bestätigen
negar,negar,deny,leugnen
afirmar,afirmar,affirm,behaupten
duvidar,dudar,doubt,zweifeln
crer,creer,believe,glauben
saber,saber,know,wissen
conhecer,conocer,know,kennen
imaginar,imaginar,imagine,vorstellen
lembrar,recordar,remember,erinnern
esquecer,olvidar,forget,vergessen
perceber,percibir,notice,bemerk
sentir,sentir,feel,fühlen
tocar,tocar,touch,berühren
cheirar,oler,smell,riechen
provar,probar,taste,probieren
ouvir,oir,hear,hören
ver,ver,see,sehen
olhar,mirar,look,anschauen
observar,observar,observe,beobachten
escutar,escuchar,listen,horchen
esperar,esperar,hope,hoffen
desejar,desear,wish,wünschen
querer,querer,want,wollen
precisar,necesitar,need,brauchen
poder,poder,can,können
dever,deber,should,sollen
ser,ser,be,sein
estar,estar,be,sein
ter,tener,have,haben
haver,haber,have,haben
fazer,hacer,do,machen
dizer,decir,say,sagen
falar,hablar,speak,sprechen
contar,contar,tell,erzählen
pedir,pedir,ask,bitten
responder,responder,answer,antworten
perguntar,preguntar,ask,fragen
conversar,conversar,talk,reden
discutir,discutir,discuss,diskutieren
brigar,pelear,fight,kämpfen
bater,golpear,hit,schlagen
matar,matar,kill,töten
viver,vivir,live,leben
morrer,morir,die,sterben
nascer,nacer,be born,geboren
crescer,crecer,grow,wachsen
envelhecer,envejecer,grow old,altern
morrer,morir,die,sterben
suicidar,suicidar,suicide,selbstmord
amar,amar,love,lieben
odiar,odiar,hate,hassen
gostar,gustar,like,mögen
detestar,detestar,hate,hassen
beijar,besar,kiss,küssen
abrazar,abrazar,hug,umarmen
casar,casar,marry,heiraten
divorciar,divorciar,divorce,scheiden
separar,separar,separate,trennen
unir,unir,unite,vereinigen
separar,separar,separate,trennen
juntar,juntar,join,vereinigen
separar,separar,separate,trennen
misturar,mezclar,mix,mischen
separar,separar,separate,trennen
ordenar,ordenar,order,ordnen
desordenar,desordenar,disorder,unordnen
limpar,limpiar,clean,reinigen
sujar,ensuciar,dirty,schmutzen
lavar,lavar,wash,waschen
secar,secar,dry,trocknen
molhar,mojar,wet,nässen
secar,secar,dry,trocknen
esfregar,fregar,rub,reiben
raspar,raspar,scrape,kratzen
cortar,cortar,cut,schneiden
costurar,coser,sew,nähen
tecer,tejer,weave,weben
pintar,pintar,paint,malen
desenhar,dibujar,draw,zeichnen
escrever,escribir,write,schreiben
imprimir,imprimir,print,drucken
fotografiar,fotografiar,photograph,fotografieren
filmar,filmar,film,filmen
gravar,grabar,record,aufnehmen
tocar,tocar,play,spielen
dançar,bailar,dance,tanzen
cantar,cantar,sing,singen
ouvir,oir,listen,hören
ver,ver,watch,sehen
assistir,ver,watch,sehen
participar,participar,participate,teilnehmen
ganhar,ganar,win,gewinnen
perder,perder,lose,verlieren
empatar,empatar,draw,unentschieden
competir,competir,compete,wettbewerben
lutar,luchar,fight,kämpfen
boxear,boxear,box,boxen
nadar,nadar,swim,schwimmen
correr,correr,run,rennen
pular,saltar,jump,springen
voar,volar,fly,fliegen
caminhar,caminar,walk,gehen
andar,caminar,walk,gehen
viajar,viajar,travel,reisen
dirigir,conducir,drive,fahren
navegar,navegar,sail,segeln
aterrissar,aterrizar,land,landen
decolar,despegar,take off,starten
chegar,llegar,arrive,ankommen
sair,salir,leave,verlassen
volver,volver,return,zurückkommen
ficar,quedar,stay,bleiben
ir,ir,go,gehen
vir,venir,come,kommen
trazer,traer,bring,bringen
levar,levar,take,nehmen
mandar,enviar,send,schicken
enviar,enviar,send,schicken
mandar,ordenar,order,bestellen
receber,recibir,receive,empfangen
dar,dar,give,geben
tomar,tomar,take,nehmen
pegar,coger,take,nehmen
largar,soltar,release,loslassen
soltar,soltar,release,loslassen
segurar,sostener,hold,halten
agarrar,agarrar,hold,greifen
segurar,sostener,keep,behalten
guardar,guardar,keep,behalten
conservar,conservar,preserve,konservieren
salvar,salvar,save,retten
resgatar,rescatar,rescue,retten
proteger,proteger,protect,schützen
defender,defender,defend,verteidigen
atacar,atacar,attack,angreifen
invadir,invadir,invade,invädieren
conquistar,conquistar,conquer,erobern
colonizar,colonizar,colonize,kolonisieren
libertar,liberar,free,befreien
prender,prender,catch,fangen
soltar,soltar,release,freilassen
preso,preso,prisoner,Gefangener
livre,livre,free,frei
escravo,esclavo,slave,Sklaverei
senhor,senor,master,Herr
servo,siervo,servant,Diener
governar,gobierno,govern,regieren
reinar,reinar,reign,herrschen
mandar,mandar,order,befehlen
obedecer,obedecer,obey,gehorchen
desobedecer,desobedecer,disobey,nicht gehorchen
servir,servir,serve,dienen
ajudar,ayudar,help,helfen
socorrer,socorrer,help,helfen
salvar,salvar,save,retten
curar,curar,cure,heilen
matar,matar,kill,töten
morrer,morir,die,sterben
nascer,nacer,born,geboren
viver,vivir,live,leben
sobreviver,sobrevivir,survive,überleben
matar,matar,kill,töten
suicidar,suicidar,suicide,Selbstmord
assassinar,asesinar,assassinate,ermorden
executar,ejecutar,execute,hinrichten
torturar,torturar,torture,foltern
mutilar,mutilar,mutilate,verstümmeln
ferir,herir,hurt,verletzen
machucar,herir,hurt,verletzn
lesionar,lesionar,injure,verletzen
curar,curar,cure,heilen
tratar,tratar,treat,behandeln
cuidar,cuidar,care for,pflegen
proteger,proteger,protect,schützen
defender,defender,defend,verteidigen
atacar,atacar,attack,angreifen
agredir,agredir,attack,angreifen
bater,golpear,hit,schlagen
espancar,golpear,beat,prügeln
matar,matar,kill,töten
assassinar,asesinar,murder,ermorden
morrer,morir,die,sterben
viver,vivir,live,leben
sobreviver,sobrevivir,survive,überleben
existir,existir,exist,existieren
ser,ser,be,sein
estar,estar,be,sein
ter,tener,have,haben
haver,haber,have,haben
haver,hay,there is,es gibt
nao haver,no hay,there is not,es gibt nicht
algum,algun,some,einige
nenhum,ningun,none,kein
todo,todo,all,alle
cada,cada,each,jede
qualquer,cualquier,any,beliebig
outro,otro,other,ander
mesmo,mismo,same,gleich
diferente,diferente,different,anders
semelhante,semejante,similar,ähnlich
igual,igual,equal,gleich
parecido,parecido,similar,ähnlich
oposto,opuesto,opposite,Gegenteil
contrario,contrario,contrary,gegen
proximo,proximo,near,nahe
longe,lejos,far,fern
perto,cerca,near,nahe
dentro,dentro,inside,innen
fora,fuera,outside,aussen
em cima,arriba,above,oben
em baixo,abajo,below,unten
na frente,delante,in front,vorne
atras,atras,behind, hinten
ao lado,al lado,beside,neben
entre,entre,between,zwischen
sobre,sobre,on,auf
sob,bajo,under,unter
contra,contra,against,gegen
com,con,with,mit
sem,sin,without,ohne
para,para,for,für
por,por,by,durch
de,de,of,von
em,en,in,in
a,a,to,zu
ate,hasta,until,bis
desde,desde,since,seit
durante,durante,during,während
antes,antes,before,vor
depois,despues,after,nach
enquanto,mientras,while,während
logo,luego,then,dann
depois,despues,then,dann
entao,entonces,then,dann
agora,ahora,now,jetzt
hoje,hoy,today,heute
amanha,manana,tomorrow,morgen
ontem,ayer,yesterday,gestern
sempre,nunca,never,nie
sempre,siempre,always,immer
as vezes,a veces,sometimes,manchmal
raramente,raramente,rarely,selten
frequentemente,frecuentemente,frequently,oft
sempre,siempre,ever,je
quando,cuando,when,wenn
onde,donde,where,wo
como,como,how,wie
porque,porque,why,warum
o que,que,what,was
quem,quien,who,wer
qual,cual,which,welcher
isso,eso,that,das
isto,esto,this,das
aquilo,aquello,that,das
este,este,this,dieser
esse,ese,that,das
aquele,aquel,that,das
meu,mi,my,mein
teu,tu,your,dein
seu,su,his,ihr
nosso,nuestro,our,unser
vosso,vuestro,your,euer
deles,ellos,their,ihnen
delas,ellas,their,ihnen
minha,mi,my,meine
tua,tu,your,deine
sua,su,his,ihre
nossa,nuestra,our,unsere
vossa,vuestra,your,eure
eu,yo,I,ich
tu,vos,you,du
ele,el,he,er
ela,ella,she,sie
nos,nos,we,wir
vos,vos,you,ihr
eles,ellos,they,sie
elas,ellas,they,sie
mim,mi,me,mir
ti,ti,you,dir
si,si,himself,sich
comigo,conmigo,with me,mit mir
contigo,contigo,with you,mit dir
consigo,consigo,with him,mit sich
conosco,con nosotros,with us,mit uns
convosco,con vosotros,with you,mit euch
